Name,STATE
Agarwal Family Foundation,CALIFORNIA
Aggarwal & Gupta Family Foundation Inc,FLORIDA 
Agrawal Family Foundation,FLORIDA 
Akhand Param Dham of America,VIRGINIA
Ambedkar-Phule Network of American Dalits and Bahujans,CALIFORNIA
American Hindu Coalition,VIRGINIA
American Hindu Federation,CALIFORNIA
Arsha Vidya Gurukalam,PENNSYLVANIA
Arya Pratinidhi Sabha America,MICHIGAN
Asian American Hotel Owners Association,GEORGIA 
Bay Area Vaishnav Parivar,CALIFORNIA 
Bharati Tamil Sangam,CALIFORNIA 
Bharat Swabhiman Overseas,TEXAS
Bhutada Family Foundation,CALIFORNIA 
Coalition of Hindus of North America,GEORGIA 
DBM Family Foundation,VIRGINIA 
Deshpande Family Foundation,FLORIDA 
Dharma Civilization Foundation,CALIFORNIA 
Educators Society for the Heritage of India,NEW JERSEY
Ekal Vidyalaya Foundation of USA,TEXAS
FACT USA,NEW JERSEY
Federation of Hindu Associations,CALIFORNIA 
Federation of Indian Associations,NEW YORK 
Forum for Global Leadership of India,MASSACHUSETTES
Forum for Hindu Awakening,NEW JERSEY
Friends of India Society International (USA),NEW JERSEY
Global Foundation for Civilisational Harmony,FLORIDA 
Global Hindu Foundation Inc,CALIFORNIA
Global Hindu Heritage Foundation,TEXAS
Global Indian Business Council,GEORGIA 
Global Indians for Bharat Vikas,MASSACHUSETTES
Himalayan Academy,HAWAII
Hindu American Foundation,WASHINGTON DC
Hindu American PAC of Florida,FLORIDA 
Hindu American PAC of NY,NEW YORK 
Hindu American Political Action Committee,TEXAS
Hindu American Seva Communities,MARYLAND
Hindu Charity Trust of Texas,TEXAS
Hindu Collective Initiative of North America,NEW JERSEY
Hindu Heritage Endowment,HAWAII
Hinduism Today,HAWAII
Hindu Mahasabha of America,TEXAS 
HinduPACT,ILLINOIS
Hindu Society of America,TEXAS
Hindu Society of Minnesota,MINNESOTA
Hindus of Georgia,GEORGIA
Hindus of Greater Houston,TEXAS
Hindu Swayamsevak Sangh (USA),NEW JERSEY
Hindu Temple of The Woodlands,TEXAS
Hindu University of America,FLORIDA 
India Development and Relief Fund,MARYLAND 
Indian American Intellectual Forum,NEW YORK 
Indian Business Association,NEW JERSEY
Infinity Foundation,NEW JERSEY
Kerala Hindus of North America,ARIZONA
Keshav Smruti,TEXAS
Krishnamurthy Tandon Foundation,NEW YORK 
Namo NYC,NEW YORK 
Param Shakti Peeth of America,CALIFORNIA
Patanjali Yogpeeth Foundation Inc,TEXAS
Puran Devi Aggarwal Family Foundation,FLORIDA
Ram Janma Bhoomi Shilanyas Celebrations Committee of USA,NEW YORK 
Republican Hindu Coalition,ILLINOIS
Sanatana Dharma Foundation,TEXAS
Sewa International (USA),TEXAS
Subhash and Sarojini Gupta Charitable Foundation,TEXAS
Swami Vivekananda Yoga Anusandhana Samsthana USA,TEXAS
The Vedic Foundation,TEXAS
Tulasi Bai Somani Educational Fund,ILLINOIS 
Uberoi Foundation for Religious Studies,COLARADO 
United States Hindu Alliance,GEORGIA 
US India Friendship Council,ILLINOIS
US India Strategic Partnership Forum,WASHINGTON DC 
Vikasan Foundation,NEW YORK 
Vishwa Hindu Parishad of America,ILLINOIS
World Hindu Council Inc,NEW JERSEY
World Hindu Foundation of America,ILLINOIS
World Hindu News,TEXAS
